Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011368 | lrm: 1.00 | dt: 1259ms | tok/sec: 104,135 | mfu: 2.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.155124 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,613 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.077162 | lrm: 1.00 | dt: 1095ms | tok/sec: 119,730 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.776275 | lrm: 1.00 | dt: 1428ms | tok/sec: 91,803 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.465982 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,437 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.158645 | lrm: 1.00 | dt: 1113ms | tok/sec: 117,793 | mfu: 2.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.933549 | lrm: 1.00 | dt: 1069ms | tok/sec: 122,631 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.716177 | lrm: 1.00 | dt: 1107ms | tok/sec: 118,375 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.506276 | lrm: 1.00 | dt: 1071ms | tok/sec: 122,420 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.308261 | lrm: 1.00 | dt: 1121ms | tok/sec: 116,959 | mfu: 2.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.120604 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,485 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.968511 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,387 | mfu: 2.9% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 6.842667 | lrm: 1.00 | dt: 1102ms | tok/sec: 118,912 | mfu: 2.9% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 6.719059 | lrm: 1.00 | dt: 1120ms | tok/sec: 117,044 | mfu: 2.8% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 6.591057 | lrm: 1.00 | dt: 1104ms | tok/sec: 118,675 | mfu: 2.9% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 6.498550 | lrm: 1.00 | dt: 1161ms | tok/sec: 112,930 | mfu: 2.7% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 6.416793 | lrm: 1.00 | dt: 1134ms | tok/sec: 115,633 | mfu: 2.8% | epoch: 1 | remaining: 293s    
step 00017 (2.2%) | loss: 6.329677 | lrm: 1.00 | dt: 1129ms | tok/sec: 116,116 | mfu: 2.8% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 6.259766 | lrm: 1.00 | dt: 1140ms | tok/sec: 114,995 | mfu: 2.8% | epoch: 1 | remaining: 291s    
step 00019 (3.0%) | loss: 6.180332 | lrm: 1.00 | dt: 1120ms | tok/sec: 117,050 | mfu: 2.8% | epoch: 1 | remaining: 290s    
step 00020 (3.4%) | loss: 6.116624 | lrm: 1.00 | dt: 1116ms | tok/sec: 117,488 | mfu: 2.8% | epoch: 1 | remaining: 289s    
step 00021 (3.7%) | loss: 6.075645 | lrm: 1.00 | dt: 1111ms | tok/sec: 117,942 | mfu: 2.8% | epoch: 1 | remaining: 288s    
step 00022 (4.1%) | loss: 6.016641 | lrm: 1.00 | dt: 1111ms | tok/sec: 117,982 | mfu: 2.9% | epoch: 1 | remaining: 287s    
step 00023 (4.5%) | loss: 5.972938 | lrm: 1.00 | dt: 1111ms | tok/sec: 117,993 | mfu: 2.9% | epoch: 1 | remaining: 285s    
step 00024 (4.9%) | loss: 5.918810 | lrm: 1.00 | dt: 1092ms | tok/sec: 120,024 | mfu: 2.9% | epoch: 1 | remaining: 284s    
step 00025 (5.2%) | loss: 5.874945 | lrm: 1.00 | dt: 1092ms | tok/sec: 119,984 | mfu: 2.9% | epoch: 1 | remaining: 283s    
step 00026 (5.6%) | loss: 5.825648 | lrm: 1.00 | dt: 1076ms | tok/sec: 121,821 | mfu: 2.9% | epoch: 1 | remaining: 282s    
step 00027 (5.9%) | loss: 5.782526 | lrm: 1.00 | dt: 1090ms | tok/sec: 120,228 | mfu: 2.9% | epoch: 1 | remaining: 281s    
step 00028 (6.3%) | loss: 5.746491 | lrm: 1.00 | dt: 1077ms | tok/sec: 121,666 | mfu: 2.9% | epoch: 1 | remaining: 280s    
step 00029 (6.7%) | loss: 5.712126 | lrm: 1.00 | dt: 1132ms | tok/sec: 115,795 | mfu: 2.8% | epoch: 1 | remaining: 279s    
step 00030 (7.0%) | loss: 5.682142 | lrm: 1.00 | dt: 1111ms | tok/sec: 118,028 | mfu: 2.9% | epoch: 1 | remaining: 278s    
